Ref,Val,Package,PosX,PosY,Rot,Side
"C3","10uF","C_0603_1608Metric",1.300000,9.185000,-90.000000,bottom
"C4","100nF","C_0402_1005Metric",-0.300000,8.385000,-90.000000,bottom
"C5","100nF","C_0402_1005Metric",-10.700000,6.685000,0.000000,bottom
"C6","100nF","C_0402_1005Metric",-10.600000,10.485000,0.000000,bottom
"C7","100nF","C_0402_1005Metric",-0.300000,10.685000,90.000000,bottom
"C8","100nF","C_0402_1005Metric",0.300000,6.485000,90.000000,bottom
"C9","100nF","C_0402_1005Metric",-10.600000,7.985000,0.000000,bottom
"C10","100nF","C_0402_1005Metric",-10.600000,9.185000,0.000000,bottom
"C11","100nF","C_0402_1005Metric",-2.770000,11.825000,180.000000,bottom
"C12","100nF","C_0402_1005Metric",-6.620000,11.505000,0.000000,bottom
"J1","Conn_01x04_Male","PinHeader_1x04_P1.27mm_Horizontal",-3.500000,1.385000,-90.000000,bottom
"J2","Conn_01x04_Male","PinHeader_1x04_P1.27mm_Horizontal",2.600000,6.885000,-150.000000,bottom
"J3","Conn_01x04_Male","PinHeader_1x04_P1.27mm_Horizontal",2.500000,11.385000,-30.000000,bottom
"J4","Conn_01x04_Male","PinHeader_1x04_P1.27mm_Horizontal",-11.400000,14.285000,-150.000000,bottom
"J5","Conn_01x04_Male","PinHeader_1x04_P1.27mm_Horizontal",-11.488750,3.760184,-30.000000,bottom
"R2","10K","R_0402_1005Metric",-9.000000,11.685000,180.000000,bottom
"U2","STM32F070F6Px","TSSOP-20_4.4x6.5mm_P0.65mm",-5.430000,8.857000,180.000000,bottom
"J6","Conn_01x04_Male","PinHeader_1x04_P1.27mm_Horizontal",3.500000,16.485000,90.000000,top
"U3_1","BMP390","XDCR_BMP390L",1.735900,7.100000,-60.000000,top
"U3_2","BMP390","XDCR_BMP390L",8.664100,7.100000,60.000000,top
"U3_3","BMP390","XDCR_BMP390L",5.200000,13.000000,180.000000,top
